name,walk,open,close,natnionality,personallist
Rebecca Leigh Longendyke,Shows walked: 40,0,1,United States,{}
Lara Mullen,Shows walked: 39,1,2,United Kingdom,{}
Steinberg ,Shows walked: 37,1,2,Russia,"{'Hair': 'Black', 'Eyes': 'Green', 'Height (cm)': '180', 'Hips (cm)': '86'}"
Cyrielle Lalande,Shows walked: 36,0,0,France,{}
Felice Nova Noordhoff,Shows walked: 36,0,2,Netherlands,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}"
Hannah Motler,Shows walked: 36,0,0,United Kingdom,"{'Hair': 'Blonde', 'Eyes': 'Blue'}"
Adut Akech,Shows walked: 33,4,4,South Sudan,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '84'}"
Alina Bolotina,Shows walked: 33,0,0,Russia,{}
Sora Choi,Shows walked: 33,0,1,South Korea,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}"
Achenrin Madit,Shows walked: 32,1,0,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '7'}"
